GEO,UNIT,SEX,AGE,ICD10\TIME	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
Estonia,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Greece,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	1	1	1	1	1	0	0	1
Spain,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	3	7	2	2	3	2	4	3	3	4
France,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	5	3	3	7	10	9	6	8	8	6
France (metropolitan),Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	5	2	3	7	10	9	5	8	8	4
Croatia,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	1	0	0	0	1	0	0	0
Italy,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	2	2	3	:	:	3	2	2	3	4
Cyprus,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	:	:	:	0	0	0	0	0	0	0
Latvia,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	1	0	1	0	4	0	0	2	0
Lithuania,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	1	0	0	0	1	0	0	2	0
Malta,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	4	4	1	1	1	1	0	0	2
Austria,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	1	0	4	2	0	0	0	0	0
Poland,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	5	4	3	5	6	2	6	6	6
Portugal,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	4	1	1	2	0	0	1	0	2	1
Romania,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	5	7	4	2	5	2	2	3	2	5
Slovenia,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	1	0	0	0	0	0	0	0	0
Slovakia,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	1	0	0	1	1	0
Finland,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	3	0	0	0	0	0	0	0
Sweden,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	1	0
United Kingdom,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	10	8	13	9	7	8	10	8	10	4
Iceland,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	:
Norway,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	1	0	0	1	0	0	0	0	0
Switzerland,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	0	1	0	1	0	0	0	2	1	1
North Macedonia,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	0	0	2	1	0	0	0	1	0
Albania,Number,Females,From 5 to 9 years,Certain infectious and parasitic diseases (A00-B99)	1	2	2	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Females,From 5 to 9 years,Tuberculosis	1 e	5 e	1	1 e	2 e	2	1	0	2	2 e
European Union - 28 countries (2013-2020),Number,Females,From 5 to 9 years,Tuberculosis	2 e	5 e	1	2 e	4 e	2	1	0	2	3 e
Belgium,Number,Females,From 5 to 9 years,Tuberculosis	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	1	0	0	0	0	0
Czechia,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	1	0	0	0
Estonia,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Females,From 5 to 9 years,Tuberculosis	0	1	1	1	0	0	0	0	1	0
France,Number,Females,From 5 to 9 years,Tuberculosis	0	1	0	0	0	0	0	0	0	0
France (metropolitan),Number,Females,From 5 to 9 years,Tuberculosis	0	1	0	0	0	0	0	0	0	0
Croatia,Number,Females,From 5 to 9 years,Tuberculosis	1	0	0	0	0	0	0	0	0	0
Italy,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	:	:	0	0	0	0	2
Cyprus,Number,Females,From 5 to 9 years,Tuberculosis	:	:	:	:	0	0	:	:	:	:
Latvia,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	1	0	0	0	0
Lithuania,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Females,From 5 to 9 years,Tuberculosis	0	0	:	:	:	:	:	:	:	:
Hungary,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	1	0
Malta,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Poland,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Portugal,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Romania,Number,Females,From 5 to 9 years,Tuberculosis	0	3	0	0	1	1	0	0	0	0
Slovenia,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Finland,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Females,From 5 to 9 years,Tuberculosis	1	0	0	1	2	0	0	0	0	1
Iceland,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Norway,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Albania,Number,Females,From 5 to 9 years,Tuberculosis	0	0	0	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0 e	1 e	1	0 e	2 e	0	0	0	1	0 e
European Union - 28 countries (2013-2020),Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0 e	1 e	1	1 e	2 e	0	0	0	1	0 e
Belgium,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	1	0
Czechia,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Estonia,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	:	0	:
Ireland,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
France,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	1	0	0	0	0	0
France (metropolitan),Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	1	0	0	0	0	0
Croatia,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Italy,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	:	:	0	0	0	0	0
Cyprus,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	:	:	:	0	:	:	:	:	0	0
Latvia,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Lithuania,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	:	:	0
Hungary,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Malta,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Netherlands,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Poland,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Portugal,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Romania,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	1	1	0	1	0	0	0	0	0
Slovenia,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Finland,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	1	0	0	0	0	0	0
Iceland,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	:	0	:	:	:	:	:	:	:	:
Norway,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	1	0	0	0	0	0	0	0	0	0
Albania,Number,Females,From 5 to 9 years,Viral hepatitis and sequelae of viral hepatitis	:	0	0	:	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	6 e	2 e	2	1 e	2 e	4	1	0	2	0 e
European Union - 28 countries (2013-2020),Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	7 e	2 e	2	1 e	2 e	5	2	0	2	0 e
Belgium,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Czechia,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	:	:	0	0	0	0	0	0
Denmark,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	1	0	0	0	0	0	0	0
Estonia,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	:	0	0	0	0	0	0	0
Ireland,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Greece,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Spain,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	1	1	0	0	1	0	1	0	0	0
France,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	1	1	0	1	2	0	0	1	0
France (metropolitan),Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	1	0	1	2	0	0	1	0
Croatia,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	0	0	:	:	0	0	0	0	0
Italy,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	:	:	0	0	0	1	0
Cyprus,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	:	:	:	0	:	:	:	0
Latvia,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Lithuania,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	:	:	0	:	:	:	0	0	0
Luxembourg,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	0	0	0	:	0	0
Hungary,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	:	0	0	:	:	:
Malta,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	0	0	0	0	0	0	:	:	0
Netherlands,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Austria,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	1	0	0	0	0	0	0	0	0	0
Poland,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	1	0	0	0	0
Portugal,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	2	0	0	0	0	0	0	0	0	0
Romania,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	2	0	0	1	0	1	0	0	0	0
Slovenia,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	0	:	0	0	:	:
Slovakia,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	:	:	0	:	:	:	0	:	:
Finland,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	0	0	0	:	0	0	:	0	0
Sweden,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	1	0	0	0	0	1	1	0	0	0
Iceland,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	:	:	:	:	:	:	:	:	:
Norway,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	:	0	0	0	:
Switzerland,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	:	:	:	0	:	0	:	:
Albania,Number,Females,From 5 to 9 years,Human immunodeficiency virus [HIV] disease	:	:	0	0	:	:	:	:	:	:
European Union - 27 countries (from 2020),Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	1,969 e	1,780 e	1,669	1,498 e	1,438 e	1,296	1,346	1,218	1,206	1,106 e
European Union - 28 countries (2013-2020),Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	2,169 e	2,009 e	1,906	1,699 e	1,654 e	1,496	1,558	1,379	1,394	1,275 e
Belgium,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	:	:	33	33	30	34	39	26	25	26
Bulgaria,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	46	41	55	62	49	41	45	41	30	38
Czechia,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	44	37	38	37	51	18	27	25	24	25
Denmark,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	16	17	19	15	12	15	16	16	12	:
Germany (until 1990 former territory of the FRG),Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	262	230	224	178	229	190	168	181	187	144
Estonia,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	9	6	15	6	6	5	8	0	0	4
Ireland,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	20	21	14	17	20	16	18	13	14	9
Greece,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	37	31	32	24	31	21	23	25	27	29
Spain,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	142	122	140	112	105	109	103	104	82	86
France,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	259	239	195	201	181	163	162	166	173	174
France (metropolitan),Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	240	227	185	183	163	153	154	155	162	150
Croatia,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	14	8	14	10	12	12	12	14	17	14
Italy,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	148	153	142	:	:	130	139	113	109	129
Cyprus,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	4	4	2	0	8	0	0	0	0	0
Latvia,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	20	14	10	7	15	11	15	10	9	15
Lithuania,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	19	28	26	17	17	20	29	24	17	11
Luxembourg,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	46	44	46	34	33	42	44	35	36	25
Malta,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	73	49	66	46	60	54	57	46	41	36
Austria,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	31	29	32	29	21	23	20	15	25	18
Poland,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	220	215	196	181	162	167	172	122	164	115
Portugal,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	58	57	55	53	32	30	46	49	32	24
Romania,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	378	314	236	170	159	134	129	122	112	116
Slovenia,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	4	5	4	9	0	0	9	0	0	0
Slovakia,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	27	32	30	35	13	19	22	20	28	22
Finland,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	12	12	13	23	18	13	18	13	18	9
Sweden,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	34	26	28	52	24	18	16	26	20	19
United Kingdom,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	200	229	237	201	216	200	212	161	188	169
Iceland,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	:
Norway,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	10	23	20	24	11	0	15	14	15	8
Switzerland,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	23	15	22	29	18	19	19	15	18	14
North Macedonia,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	16	13	12	17	8	9	8	4	7	7
Albania,Number,Females,From 10 to 14 years,All causes of death (A00-Y89) excluding S00-T98	29	34	46	54	:	:	:	:	:	26
European Union - 27 countries (from 2020),Number,Females,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	221 e	142 e	103	58 e	42 e	38	26	21	29	19 e
European Union - 28 countries (2013-2020),Number,Females,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	231 e	149 e	110	67 e	45 e	43	32	26	38	27 e
Belgium,Number,Females,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	:	:	0	1	1	1	0	1	0	0
Bulgaria,Number,Females,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	2	1	2	2	1	1	1	0	1
Czechia,Number,Females,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	1	1	0	1	2	0	0	0	2	0
Denmark,Number,Females,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	2	2	1	0	1	1	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Females,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	11	8	3	5	5	5	4	3	6	1
Estonia,Number,Females,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Females,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	1	0	2	0	0	0	0	0	0	0
Greece,Number,Females,From 10 to 14 years,Certain infectious and parasitic diseases (A00-B99)	0	1	0	0	0	0	0	0	0	0
